Date,Close/Last,Volume,Open,High,Low
09/26/2024,$172.66,8474993,$174.91,$175.75,$166.7801
09/25/2024,$168.27,5095502,$166.28,$168.59,$165.76
09/24/2024,$166.95,9666799,$167.42,$169.355,$165.98
09/23/2024,$165.96,9810047,$168.42,$169.98,$165.35
09/20/2024,$168.92,27546390,$172.69,$173.07,$164.30
09/19/2024,$173.92,10900030,$174.42,$176.80,$172.49
09/18/2024,$168.30,5877581,$169.52,$172.42,$167.695
09/17/2024,$168.70,5828016,$168.88,$169.50,$166.08
09/16/2024,$166.61,6510034,$164.93,$167.34,$163.79
09/13/2024,$167.73,4049902,$165.81,$168.30,$165.44
09/12/2024,$164.98,6045562,$165.88,$166.31,$162.90
09/11/2024,$166.56,8275440,$162.36,$166.90,$159.2502
09/10/2024,$161.68,7918073,$160.00,$162.06,$157.68
09/09/2024,$160.77,7494915,$161.09,$162.37,$158.57
09/06/2024,$158.19,10703050,$162.74,$163.19,$157.13
09/05/2024,$163.70,5599989,$163.08,$165.7994,$161.85
09/04/2024,$165.33,6737013,$163.00,$168.24,$162.63
09/03/2024,$163.24,11620270,$171.885,$172.155,$162.00
08/30/2024,$175.30,11110810,$172.29,$175.46,$170.80
08/29/2024,$169.49,12514150,$173.42,$176.3599,$168.93
08/28/2024,$171.85,6534566,$174.38,$175.72,$169.63
08/27/2024,$173.93,6498782,$169.17,$174.44,$168.265
