Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00,7.10844094799596,7.11766775536528,7.0309342173811,7.06415128707886,2705200,0,0
2010-01-05 00:00:00,7.06969147310887,7.10290855943206,7.01617497803699,7.1010627746582,1854400,0,0
2010-01-06 00:00:00,7.12320437856641,7.15457637136739,7.04016240035987,7.06230688095093,2583200,0,0
2010-01-07 00:00:00,7.07707057851978,7.07707057851978,6.97003832140162,7.02355480194092,2227200,0,0
2010-01-08 00:00:00,6.99402682522704,7.05307923576947,6.97372742711052,7.02908897399902,1298800,0,0
2010-01-11 00:00:00,7.02355668340499,7.06969144713318,7.0124840866844,7.04201030731201,1304800,0,0
2010-01-12 00:00:00,7.0364739534969,7.12874347561056,7.01248368063838,7.11213493347168,1262800,0,0
2010-01-13 00:00:00,7.134280375471,7.19517860610875,7.11951761601865,7.15088891983032,1285600,0,0
2010-01-14 00:00:00,7.1361252588958,7.15642466854651,7.07707281479954,7.15273380279541,1430000,0,0
2010-01-15 00:00:00,7.15088781733536,7.1582695479038,7.08629943476302,7.11582565307617,1252800,0,0
2010-01-19 00:00:00,7.12689515495666,7.18963843582616,7.09736894654515,7.17302989959717,1745200,0,0
2010-01-20 00:00:00,7.12108058162904,7.14520045894059,7.06356248110312,7.14334535598755,1169200,0.0525,0
2010-01-21 00:00:00,7.16375431947592,7.234260257059,7.09695929521662,7.15633249282837,2625600,0,0
2010-01-22 00:00:00,7.15818776459942,7.22312697341681,7.14334411242156,7.16560888290405,1940800,0,0
2010-01-25 00:00:00,7.19158952153641,7.23426469705939,7.12850537188325,7.1619029045105,1884400,0,0
2010-01-26 00:00:00,7.16189736732898,7.18972885892885,7.09695816397493,7.17117500305176,1164800,0,0
2010-01-27 00:00:00,7.19715259109358,7.23426102046292,7.16004416172425,7.2212724685669,1581600,0,0
2010-01-28 00:00:00,7.2027177222053,7.21385046198266,7.12479066711674,7.17488622665405,1787200,0,0
2010-01-29 00:00:00,7.20457340550511,7.23240419278057,7.1507662258745,7.18045282363892,1996800,0,0
2010-02-01 00:00:00,7.2101375852069,7.26951076561525,7.16746315602491,7.25837802886963,2498800,0,0
2010-02-02 00:00:00,7.24910271410432,7.35857217253417,7.24724761145961,7.35486125946045,2017200,0,0
2010-02-03 00:00:00,7.31961198727079,7.34744278634798,7.28250354738325,7.31775617599487,1518400,0,0
2010-02-04 00:00:00,7.2806469905651,7.30291176693939,7.19529738352545,7.20271921157837,1852000,0,0
2010-02-05 00:00:00,7.21756302339082,7.24724962845847,7.16190001957754,7.23611688613892,2098800,0,0
2010-02-08 00:00:00,7.25466929622705,7.26394693352786,7.20642883807087,7.21013975143433,1730000,0,0
2010-02-09 00:00:00,7.23982555889613,7.32146352061207,7.21384987597671,7.28064489364624,1414000,0,0
2010-02-10 00:00:00,7.31775395140213,7.36785022385338,7.25652564581799,7.35115146636963,1916000,0,0
2010-02-11 00:00:00,7.33074053358884,7.3845477104187,7.25281348393259,7.3845477104187,1276000,0,0
2010-02-12 00:00:00,7.32703220666123,7.37341756938113,7.28992377492841,7.35857391357422,2121200,0,0
2010-02-16 00:00:00,7.37898189957696,7.4773186195723,7.34558438943057,7.46989679336548,2831200,0,0
2010-02-17 00:00:00,7.46804333179831,7.55710314249804,7.46804333179831,7.53112745285034,2933200,0,0
2010-02-18 00:00:00,7.91334568989173,7.91891170870434,7.76491191556498,7.84283971786499,7535600,0,0
2010-02-19 00:00:00,7.72965507930551,7.78902827362942,7.57565607771048,7.70739030838013,5826400,0,0
2010-02-22 00:00:00,7.74821253639429,7.77047802544698,7.67956238127673,7.72038173675537,2711600,0,0
2010-02-23 00:00:00,7.71852276311337,7.7611979124211,7.63317388006661,7.64245080947876,3058400,0,0
2010-02-24 00:00:00,7.64430770725338,7.72223477473996,7.64059679340386,7.68698215484619,2748000,0,0
2010-02-25 00:00:00,7.61462307806083,7.66100845152692,7.57936974124445,7.6405987739563,2755200,0,0
2010-02-26 00:00:00,7.6684285991174,7.68883756442678,7.59792264873439,7.62760925292969,2124400,0,0
2010-03-01 00:00:00,7.66285979029731,7.71481186434896,7.63688410716363,7.66842651367188,1599600,0,0
2010-03-02 00:00:00,7.71110272232686,7.77789704810335,7.66842827483725,7.76119899749756,2898800,0,0
2010-03-03 00:00:00,7.64059665145932,7.74450011396226,7.56452468841851,7.67956018447876,2535200,0,0
2010-03-04 00:00:00,7.70368007417266,7.76676418717433,7.69069223100623,7.75563144683838,1935200,0,0
2010-03-05 00:00:00,7.79273666690828,7.7945917689754,7.73521859385026,7.7630500793457,2484800,0,0
2010-03-08 00:00:00,7.73893393709444,7.7816083869146,7.70182550444686,7.73336791992188,2328400,0,0
2010-03-09 00:00:00,7.73707883396508,7.75934361043984,7.70368131536071,7.73336791992188,2424800,0,0
2010-03-10 00:00:00,7.75933936391533,7.75933936391533,7.67770142299698,7.72408676147461,2031600,0,0
2010-03-11 00:00:00,7.71295758862785,7.71295758862785,7.62575288551264,7.71110248565674,1496800,0,0
2010-03-12 00:00:00,7.71110193372207,7.71852305285977,7.62018632338765,7.65729475021362,2466400,0,0
2010-03-15 00:00:00,7.65543697225568,7.7018223169217,7.63873821986454,7.66656970977783,1585600,0,0
2010-03-16 00:00:00,7.69254802881857,7.69254802881857,7.64987358201855,7.67956018447876,1366000,0,0
2010-03-17 00:00:00,7.68883394544096,7.7129545211792,7.64244860398197,7.7129545211792,1717600,0,0
2010-03-18 00:00:00,7.7092466749012,7.75377693183658,7.69069281405238,7.71110248565674,1782800,0,0
2010-03-19 00:00:00,7.68141555786133,7.74635477586259,7.62760837278349,7.68141555786133,2388800,0,0
2010-03-22 00:00:00,7.61833405584341,7.72223684028411,7.61833405584341,7.72038173675537,1498400,0,0
2010-03-23 00:00:00,7.75748808365701,7.76119899749756,7.6758493947339,7.76119899749756,1370800,0,0
2010-03-24 00:00:00,7.75934281348398,7.77789667400988,7.73336712563396,7.7667646408081,1708800,0,0
2010-03-25 00:00:00,7.79088619451798,7.79088619451798,7.68698272241307,7.72965717315674,2067600,0,0
2010-03-26 00:00:00,7.75748826521821,7.78531905799701,7.73336767858236,7.78346395492554,2565600,0,0
2010-03-29 00:00:00,7.79273834061203,7.88550903514312,7.78346141271577,7.87437629699707,2113600,0,0
2010-03-30 00:00:00,7.88922293032401,7.88922293032401,7.78903037248512,7.82984972000122,1986000,0,0
2010-03-31 00:00:00,7.8242799277219,7.86695506946021,7.77975039132816,7.794593334198,1378800,0,0
2010-04-01 00:00:00,7.80944112595009,7.86510342985032,7.78346543131562,7.82428407669067,1051600,0,0
2010-04-05 00:00:00,7.84840430992092,7.86139215664576,7.74264572499895,7.77975416183472,1515600,0,0
2010-04-06 00:00:00,7.76490953818421,7.77047626307715,7.72965691685648,7.75377750396729,1753200,0,0
2010-04-07 00:00:00,7.75563130322415,7.78717371303309,7.71295686106976,7.74820947647095,1498000,0,0
2010-04-08 00:00:00,7.74635510438328,7.74635510438328,7.69069281405238,7.71110248565674,1508000,0,0
2010-04-09 00:00:00,7.70367993152044,7.74820947647095,7.69069208859451,7.74820947647095,1173200,0,0
2010-04-12 00:00:00,7.76305391817053,7.76861993490838,7.7407891434347,7.7519211769104,1804000,0,0
2010-04-13 00:00:00,7.74264409589235,7.78346343860147,7.69254782287236,7.78160762786865,1595200,0,0
2010-04-14 00:00:00,7.79093116377371,7.82822633424498,7.74617752828515,7.82449674606323,1426000,0.0525,0
