Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00,33.9344325512723,34.3862784548776,33.7407858144352,34.2848434448242,2210900,0,0
2010-01-05 00:00:00,34.3217279323052,34.5061513772201,33.9067681459431,34.4692687988281,1975600,0,0
2010-01-06 00:00:00,34.4784934800048,34.7643554886243,34.2202978061887,34.7090263366699,1324300,0,0
2010-01-07 00:00:00,34.6075971812773,35.0502199189598,34.3770642855477,34.967227935791,1979400,0,0
2010-01-08 00:00:00,34.7920228444143,34.9948929103928,34.6905878114251,34.9395637512207,1159400,0,0
2010-01-11 00:00:00,35.2069841172354,35.2069841172354,34.7643613795529,34.967227935791,1390600,0,0
2010-01-12 00:00:00,34.7274607381122,34.9856563476223,34.5799198872991,34.6905746459961,1565400,0,0
2010-01-13 00:00:00,34.7920242013915,35.0502199189598,34.5891541275006,34.967227935791,1566100,0,0
2010-01-14 00:00:00,34.8104555056466,35.0594313711165,34.6444715953334,34.9579963684082,1279600,0,0
2010-01-15 00:00:00,34.7920163666509,34.9211141963637,34.1465237004346,34.3125076293945,1678600,0,0
2010-01-19 00:00:00,34.1926448288411,35.2069882830097,34.183421542035,35.1885452270508,2078300,0,0
2010-01-20 00:00:00,35.0040906662968,35.0778628321358,34.4047076482821,34.6721229553223,2015800,0,0
2010-01-21 00:00:00,35.4190728180743,35.4190728180743,33.9436637400001,34.2940711975098,2503500,0,0
2010-01-22 00:00:00,34.0450850443772,34.3770528667851,32.901644231252,32.9477500915527,2884400,0,0
2010-01-25 00:00:00,33.344265396892,33.6024610176629,33.1137325875889,33.2797164916992,1754900,0,0
2010-01-26 00:00:00,33.1598436761585,33.8237793973212,33.1506239100988,33.2336158752441,1808700,0,0
2010-01-27 00:00:00,33.1321859539843,33.6024714836737,33.0307509234732,33.5471458435059,2365500,0,0
2010-01-28 00:00:00,33.6946644214899,33.8053191461611,32.698761346498,33.1321640014648,1755100,0,0
2010-01-29 00:00:00,33.2889320251401,33.676228924721,32.883195598692,32.9846305847168,2594500,0,0
2010-02-01 00:00:00,33.0952974335533,33.6301353671615,33.0676346154882,33.5748062133789,1738300,0,0
2010-02-02 00:00:00,33.5655914391114,34.1926412046389,33.4180505247316,34.1741981506348,1625800,0,0
2010-02-03 00:00:00,33.9620949491223,34.0727497119746,33.6946760477155,33.7776679992676,982500,0,0
2010-02-04 00:00:00,33.5840190886155,33.6577912785206,32.569676100981,32.5788993835449,2979200,0,0
2010-02-05 00:00:00,32.569677829095,32.7079989336805,31.8965223899258,32.6157836914063,3097500,0,0
2010-02-08 00:00:00,32.2838088411384,32.7540976804415,31.5737709769611,32.0532760620117,2513100,0,0
2010-02-09 00:00:00,32.3944860376554,32.6803445995183,32.1362867821512,32.4774780273438,2060900,0,0
2010-02-10 00:00:00,32.4036772345264,32.5881041065103,32.0993758857554,32.3022422790527,2185500,0,0
2010-02-11 00:00:00,32.311485807005,32.4866895104826,31.9057457308327,32.4682464599609,2099400,0,0
2010-02-12 00:00:00,32.1823783941849,32.5051228881414,31.5737719786874,32.4313507080078,3247200,0,0
2010-02-16 00:00:00,32.7725538727018,33.3166115904139,32.6342327426732,33.3073883056641,2151600,0,0
2010-02-17 00:00:00,33.4088180689448,33.6485741875375,33.0952932722365,33.3534889221191,1524000,0,0
