Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00,19.8001799388656,20.3078777432058,19.6309480547189,19.7099227905273,4076600,0,0
2010-01-05 00:00:00,19.7324881668057,19.8114629048202,19.3827419762125,19.484281539917,5112400,0,0
2010-01-06 00:00:00,19.4955587220028,19.8001751794859,19.4391466729136,19.6817131042481,3157400,0,0
2010-01-07 00:00:00,19.619666157899,19.918644718047,19.5688963761304,19.8509502410889,3581200,0,0
2010-01-08 00:00:00,19.8453088851732,20.2006973356076,19.7042819614025,20.0878753662109,3980600,0,0
2010-01-11 00:00:00,20.1837707535586,20.3642850269486,20.0878734872764,20.2965927124023,3992900,0,0
2010-01-12 00:00:00,20.1894148227921,20.2345423191856,20.0653104418847,20.0935153961182,2834400,0,0
2010-01-13 00:00:00,20.0709510765652,20.3699274403219,20.0709510765652,20.3417224884033,2729800,0,0
2010-01-14 00:00:00,20.364288009608,20.4489050291092,20.2514681861399,20.4207000732422,3117800,0,0
2010-01-15 00:00:00,20.2909501345975,20.3755649795961,20.0032540666631,20.313512802124,4896100,0,0
2010-01-19 00:00:00,20.2119816674605,20.5786504129504,20.2119816674605,20.5560855865479,4263400,0,0
2010-01-20 00:00:00,20.4771090726345,20.6181359975864,20.3191596052964,20.6012134552002,4945600,0,0
2010-01-21 00:00:00,20.7196725736486,20.793007166601,20.3078742702847,20.3699264526367,4413200,0,0
2010-01-22 00:00:00,20.4037726468602,20.4150550580768,19.98069190979,19.98069190979,4206300,0,0
2010-01-25 00:00:00,20.1217203503516,20.2232599071122,19.8565911982769,20.0935153961182,2516000,0,0
2010-01-26 00:00:00,20.0540281298219,20.1894149234779,20.0089006332033,20.0878753662109,3542700,0,0
2010-01-27 00:00:00,20.0483821485322,20.2740238695712,19.7719685117776,20.0427398681641,3908500,0,0
2010-01-28 00:00:00,20.0709488883089,20.1555637348394,19.7776126861572,19.7776126861572,3953900,0,0
2010-01-29 00:00:00,19.822746824398,19.913003982118,19.5294105238329,19.5463352203369,3931700,0,0
2010-02-01 00:00:00,19.6365840295733,19.692993922203,19.3037604984992,19.5181198120117,5117000,0,0
2010-02-02 00:00:00,19.5688913305361,19.8058176350007,19.3770946657407,19.7776126861572,2912500,0,0
2010-02-03 00:00:00,19.7268485339693,19.7268485339693,19.4899221620486,19.5745391845703,5341100,0,0
2010-02-04 00:00:00,19.4730004006434,19.5463350129818,19.0217146168308,19.0386371612549,3442800,0,0
2010-02-05 00:00:00,19.0047903468233,19.1006897884786,18.6437617116745,18.9765853881836,4444000,0,0
2010-02-08 00:00:00,19.0394005090096,19.0394005090096,18.7138920378008,18.7424449920654,3219900,0.41,0
2010-02-09 00:00:00,18.8737982276949,19.1536225249446,18.8623766055162,18.9594593048096,3414800,0,0
2010-02-10 00:00:00,18.953739415469,18.9708729307412,18.6796271340732,18.8566589355469,2619200,0,0
2010-02-11 00:00:00,18.822394747132,18.919477408928,18.7024710282523,18.8909244537354,3055500,0,0
2010-02-12 00:00:00,18.8109728248838,18.8966338675261,18.6624961532148,18.8166847229004,3188400,0,0
2010-02-16 00:00:00,18.8566592964225,19.2506953000105,18.7310236814593,19.2449855804443,3134200,0,0
2010-02-17 00:00:00,19.3192193448104,19.3420603948332,19.1307659775841,19.1593189239502,2145300,0,0
2010-02-18 00:00:00,19.1136379818773,19.2506930197385,19.107926084537,19.1421909332275,3834800,0,0
2010-02-19 00:00:00,19.0793749864159,19.4905444968383,19.0051355629339,19.3991737365723,3854300,0,0
2010-02-22 00:00:00,19.5190958745399,19.5190958745399,19.2107187666286,19.2164306640625,2929800,0,0
2010-02-23 00:00:00,19.1821673605889,19.3020910749571,19.0679533656642,19.2564067840576,3124100,0,0
2010-02-24 00:00:00,19.3249336482958,19.3820395545785,19.0165565260874,19.3649082183838,3935200,0,0
2010-02-25 00:00:00,19.1536114316389,19.2678254088246,18.9308953742746,19.2335605621338,2476500,0,0
2010-02-26 00:00:00,19.3020874019722,19.3249306323005,19.1136361978898,19.1992950439453,2635200,0,0
2010-03-01 00:00:00,19.2564065912501,19.4962540175849,19.2564065912501,19.3820400238037,2965000,0,0
2010-03-02 00:00:00,19.4562779047533,19.5647799920994,19.4163033368652,19.4848308563232,2936700,0,0
2010-03-03 00:00:00,19.5476504050855,19.5876249765487,19.3420656498743,19.3991737365723,1924200,0,0
2010-03-04 00:00:00,19.3991730692238,19.4163044054185,19.233562891173,19.3649082183838,2291200,0,0
2010-03-05 00:00:00,19.4676979351587,19.5819119105849,19.3249310104886,19.5590686798096,1972000,0,0
2010-03-08 00:00:00,19.5990474281901,19.6276003835291,19.4448588552181,19.5190982818604,1983800,0,0
2010-03-09 00:00:00,19.5076740889595,19.5647799920994,19.4220130557989,19.4848308563232,1659100,0,0
2010-03-10 00:00:00,19.5647782783145,19.6047550211514,19.4163016360862,19.5019626617432,2522300,0,0
2010-03-11 00:00:00,19.5647874740533,19.6104739567972,19.3877577995495,19.5419464111328,2908600,0,0
2010-03-12 00:00:00,19.5590745191635,19.5819177567587,19.4048859330728,19.4734134674072,2955500,0,0
2010-03-15 00:00:00,19.4962577594822,19.6390247344971,19.4391518408567,19.6390247344971,2211700,0,0
2010-03-16 00:00:00,19.5990428929643,19.8731551220012,19.5362250986839,19.8560237884521,2181000,0,0
2010-03-17 00:00:00,19.7646606887592,19.9245590062534,19.7475293485852,19.8845844268799,1890400,0,0
2010-03-18 00:00:00,19.9188486240135,19.9702448212796,19.7418167937747,19.8503189086914,2402900,0,0
2010-03-19 00:00:00,19.7132606506348,19.9188454064905,19.5647818032053,19.7132606506348,3938700,0,0
